@relation Teste

@attribute P1 numeric
@attribute P2 numeric
@attribute P3 numeric
@attribute P4 numeric
@attribute P5 numeric
@attribute P6 numeric
@attribute P7 numeric
@attribute P8 numeric
@attribute P9 numeric
@attribute P10 numeric
@attribute P11 numeric
@attribute P12 numeric
@attribute P13 numeric
@attribute P14 numeric
@attribute P15 numeric
@attribute P16 numeric
@attribute P17 numeric
@attribute P18 numeric
@attribute P19 numeric
@attribute P20 numeric
@attribute P21 numeric
@attribute P22 numeric
@attribute P23 numeric
@attribute P24 numeric
@attribute P25 numeric
@attribute P26 numeric
@attribute P27 numeric
@attribute P28 numeric
@attribute P29 numeric
@attribute P30 numeric
@attribute P31 numeric
@attribute P32 numeric
@attribute P33 numeric
@attribute P34 numeric
@attribute P35 numeric
@attribute P36 numeric
@attribute P37 numeric
@attribute P38 numeric
@attribute P39 numeric
@attribute P40 numeric
@attribute P41 numeric
@attribute P42 numeric
@attribute P43 numeric
@attribute P44 numeric
@attribute P45 numeric
@attribute P46 numeric
@attribute P47 numeric
@attribute P48 numeric
@attribute P49 numeric
@attribute P50 numeric
@attribute P51 numeric
@attribute P52 numeric
@attribute P53 numeric
@attribute P54 numeric
@attribute P55 numeric
@attribute P56 numeric
@attribute P57 numeric
@attribute P58 numeric
@attribute P59 numeric
@attribute P60 numeric
@attribute P61 numeric
@attribute P62 numeric
@attribute P63 numeric
@attribute P64 numeric
@attribute P65 numeric
@attribute P66 numeric
@attribute P67 numeric
@attribute P68 numeric
@attribute P69 numeric
@attribute P70 numeric
@attribute P71 numeric
@attribute P72 numeric
@attribute P73 numeric
@attribute P74 numeric
@attribute P75 numeric
@attribute P76 numeric
@attribute P77 numeric
@attribute P78 numeric
@attribute P79 numeric
@attribute P80 numeric
@attribute classe {funcionamento,comparacao,aplicacao,conceito,hiperparametro,desvantagem,' nEstimators',maxFeatures,nJobs,minSampleLeaf,randomState,oobScore,implementacao,vantagem,historia,conceitoArvore,metodo,paradigma,conceitoHiperparametro,overfitting,tarefa,classificacao,parametro,caracteristica,definicao,proposito,bagging,overfit,nEstimators,maxDepth,metodos,tratamentoDeDados,sobreajuste,desbalanceamento,hiperparametroPreditivo,hiperparametroVelocidade,conceitoBagging,conceitoBootstrap,conceitoBoosting,conceitoArvoreDecisao,Classe,hiperparametros,definição,história,comparação,melhoria,pré-processamento,pós-processamento,diferença,usabilidade}

@data
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,funcionamento
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,funcionamento
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,funcionamento
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,funcionamento
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,funcionamento
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,funcionamento
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,funcionamento
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,funcionamento
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,funcionamento
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,funcionamento
